"time","open","high","low","close","volume","volumeq"
"2020-09-09 15:00:00+00",10213.62,10260,10190,10234.21,2471.49,25290846
"2020-09-09 14:00:00+00",10190.6,10261.78,10189.38,10213.62,2387.05,2.441088E+7
"2020-09-09 13:00:00+00",10221.37,10261.63,10165.99,10190.6,2148.4,21928942
"2020-09-09 12:00:00+00",10171.92,10274.59,10171.9,10221.37,2916.75,2.981986E+7
"2020-09-09 11:00:00+00",10198.96,10207,10142.36,10171.92,1906.05,1.938371E+7
"2020-09-09 10:00:00+00",10156.44,10204.17,10149.8,10198.96,2067.76,2.105299E+7
"2020-09-09 09:00:00+00",10190,10200,10140.22,10156.44,2094.55,21305106
"2020-09-09 08:00:00+00",10095.75,10197.57,10095.74,10190,2281.13,23155456
"2020-09-09 07:00:00+00",10088.96,10118.45,10061.72,10095.75,1450.44,14632157
"2020-09-09 06:00:00+00",10071.7,10130.34,10071.61,10088.96,1708.59,17269668
"2020-09-09 05:00:00+00",10026.68,10108,10002.66,10071.7,1589.95,15994286
